id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1387389929567686656	1387191905545564164	2021-04-28 09:55:10 E. South America Standard Time	2021-04-28	09:55:10	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		@tarcisiogdf @MInfraestrutura @ppinvestimentos 🤝🇧🇷, Ministro!	es	[]	[]	[]	139	341	4553	[]	[]	https://twitter.com/jairbolsonaro/status/1387389929567686656	False		0								[{'screen_name': 'tarcisiogdf', 'name': 'Tarcísio Gomes de Freitas', 'id': '1078618844007157761'}, {'screen_name': 'MInfraestrutura', 'name': 'Ministério da Infraestrutura', 'id': '523331076'}, {'screen_name': 'ppinvestimentos', 'name': 'Programa de Parcerias de Investimentos', 'id': '775320812047958016'}]				
1387348675953836035	1387348675953836035	2021-04-28 07:11:14 E. South America Standard Time	2021-04-28	07:11:14	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Cada vez mais integramos nossos irmãos índios à sociedade. - Eles têm direito a liberdade para produzir em suas terras. - Bom dia a todos.  https://t.co/xXAEJGTaGa	pt	[]	[]	[]	1295	4240	20318	[]	[]	https://twitter.com/jairbolsonaro/status/1387348675953836035	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1387348641053122561/pu/img/-UFFkbL9K400NB8R.jpg							[]				
1387003792059731971	1386996365167894532	2021-04-27 08:20:47 E. South America Standard Time	2021-04-27	08:20:47	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		 https://t.co/7DU1wytOVu	und	[]	[]	['https://pbs.twimg.com/media/Ez-gmI-WQAAThe6.jpg']	885	1728	8635	[]	[]	https://twitter.com/jairbolsonaro/status/1387003792059731971	False		1	https://pbs.twimg.com/media/Ez-gmI-WQAAThe6.jpg							[]				
1386998194760978433	1386996365167894532	2021-04-27 07:58:33 E. South America Standard Time	2021-04-27	07:58:33	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		-Elas serão entregues aos estados armazenadas entre -25°C e -15°C. As doses podem ficar nessa faixa de temperatura por até 14 dias. Por isso, o @minsaude orienta que a vacinação com a 1a remessa da Pfizer fique restrita às 27 capitais do país.  Saiba mais:  https://t.co/czP38xLVzF	pt	[{'screen_name': 'minsaude', 'name': 'ministério da saúde', 'id': '37717107'}]	['https://bit.ly/3xjFvTT']	[]	226	1293	8309	[]	[]	https://twitter.com/jairbolsonaro/status/1386998194760978433	False		0								[]				
1386997749535715329	1386996365167894532	2021-04-27 07:56:47 E. South America Standard Time	2021-04-27	07:56:47	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		A1. Fora as entregas semanais de outras vacinas, vem aí o 1º lote da Pfizer com 1 milhão de doses! O @govbr tem um acordo fechado com a Pfizer de 100 milhões de doses no total. A expectativa é que 15,5 milhões de doses cheguem até junho, e o restante até o fim de 2021. @minsaude  https://t.co/OH8SiMD6rX	pt	[{'screen_name': 'govbr', 'name': 'governo do brasil', 'id': '861707648584085504'}, {'screen_name': 'minsaude', 'name': 'ministério da saúde', 'id': '37717107'}]	[]	['https://pbs.twimg.com/media/Ez-bGceXIAAVTyB.jpg']	200	988	4721	[]	[]	https://twitter.com/jairbolsonaro/status/1386997749535715329	False		1	https://pbs.twimg.com/media/Ez-bGceXIAAVTyB.jpg							[]				
1386997083433955333	1386996365167894532	2021-04-27 07:54:08 E. South America Standard Time	2021-04-27	07:54:08	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Novos contratados irão repor vagas de colaboradores que tiveram seus pedidos de transferência para outras unidades homologados. ⠀ Saiba detalhes:  https://t.co/VY2QKnyJ3a ⠀ @ebserh @mribeiroMEC @MEC_Comunicacao  https://t.co/9Zf4Xjn8D8	pt	[{'screen_name': 'ebserh', 'name': 'ebserh', 'id': '1392868538'}, {'screen_name': 'mribeiromec', 'name': 'milton ribeiro', 'id': '1130460100123156480'}, {'screen_name': 'mec_comunicacao', 'name': 'ministério da educação', 'id': '56780945'}]	['https://bit.ly/3sToUD4']	['https://pbs.twimg.com/media/Ez-afqyXIAEUZlH.jpg']	39	769	4058	[]	[]	https://twitter.com/jairbolsonaro/status/1386997083433955333	False		1	https://pbs.twimg.com/media/Ez-afqyXIAEUZlH.jpg							[]				
1386996830693625856	1386996365167894532	2021-04-27 07:53:08 E. South America Standard Time	2021-04-27	07:53:08	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		A3. A medida agilizou o atendimento desse tipo de solicitação, com a publicação da autorização em até dois dias úteis após o pedido de priorização.	pt	[]	[]	[]	33	819	4689	[]	[]	https://twitter.com/jairbolsonaro/status/1386996830693625856	False		0								[]				
1386996741875159044	1386996365167894532	2021-04-27 07:52:47 E. South America Standard Time	2021-04-27	07:52:47	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		A2. As autorizações estão nas resoluções nº 1.376, 1.494 e 1.615, publicadas entre os dias 6 e 20 de abril, e foram aprovadas de acordo com o fluxo de priorização de demandas relacionadas ao enfrentamento da doença, estabelecido em março de 2020.	pt	[]	[]	[]	35	814	4438	[]	[]	https://twitter.com/jairbolsonaro/status/1386996741875159044	False		0								[]				
1386996640305778689	1386996365167894532	2021-04-27 07:52:22 E. South America Standard Time	2021-04-27	07:52:22	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		A1. Três empresas fabricantes de oxigênio medicinal, insumo essencial ao enfrentamento do covid em hospitais, receberam autorizações de funcionamento concedidas pela @anvisa_oficial . A medida tem por objetivo reforçar o fornecimento do produto.  https://t.co/vuSVtEiVGz	pt	[{'screen_name': 'anvisa_oficial', 'name': 'anvisa', 'id': '59477935'}]	[]	['https://pbs.twimg.com/media/Ez-aFv5WEAYdK8H.jpg']	67	1018	4833	[]	[]	https://twitter.com/jairbolsonaro/status/1386996640305778689	False		1	https://pbs.twimg.com/media/Ez-aFv5WEAYdK8H.jpg							[]				
1386996365167894532	1386996365167894532	2021-04-27 07:51:17 E. South America Standard Time	2021-04-27	07:51:17	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Segue o fio:  https://t.co/uyTAehel0i	pt	[]	[]	['https://pbs.twimg.com/media/Ez-Z13mX0AcFPB1.jpg']	1902	5776	26697	[]	[]	https://twitter.com/jairbolsonaro/status/1386996365167894532	False		1	https://pbs.twimg.com/media/Ez-Z13mX0AcFPB1.jpg							[]				
1386640318242693122	1386640318242693122	2021-04-26 08:16:29 E. South America Standard Time	2021-04-26	08:16:29	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Se você não lê jornal está sem informação, sê lê está desinformado.  - Bom dia a todos.  https://t.co/7St2B5VD70	pt	[]	[]	[]	2157	7366	26703	[]	[]	https://twitter.com/jairbolsonaro/status/1386640318242693122	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1386640240459370496/pu/img/a2v8kbM9v69fvG2m.jpg							[]				
1386618764880449540	1386617420345970688	2021-04-26 06:50:50 E. South America Standard Time	2021-04-26	06:50:50	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Mais informações nas redes sociais: @exercitooficial @marmilbr @fab_oficial @DefesaGovBr  https://t.co/bYcuZut9Fm	pt	[{'screen_name': 'exercitooficial', 'name': 'exercitooficial', 'id': '184762182'}, {'screen_name': 'marmilbr', 'name': 'marinha do brasil', 'id': '236354374'}, {'screen_name': 'fab_oficial', 'name': 'força aérea brasileira 🇧🇷', 'id': '123339012'}, {'screen_name': 'defesagovbr', 'name': 'ministério da defesa', 'id': '70809242'}]	[]	['https://pbs.twimg.com/media/Ez5CafQXsAE01sn.jpg']	183	989	4508	[]	[]	https://twitter.com/jairbolsonaro/status/1386618764880449540	False		1	https://pbs.twimg.com/media/Ez5CafQXsAE01sn.jpg							[]				
1386618503319404546	1386617420345970688	2021-04-26 06:49:47 E. South America Standard Time	2021-04-26	06:49:47	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Distribuição de cerca de 124 mil unidades de medicamentos para kits intubação, alcançando 62 hospitais em 47 cidades no RS. A ação é coordenada pelo 3º Grupamento Logístico e partem do 3º Batalhão de Suprimento, Comando Militar do Sul. @DefesaGovBr  https://t.co/jDcxFIEBYr	pt	[{'screen_name': 'defesagovbr', 'name': 'ministério da defesa', 'id': '70809242'}]	[]	[]	187	1201	5560	[]	[]	https://twitter.com/jairbolsonaro/status/1386618503319404546	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1386618443542286338/pu/img/KhldKWP_vTDcGoR5.jpg							[]				
1386618256149172224	1386617420345970688	2021-04-26 06:48:49 E. South America Standard Time	2021-04-26	06:48:49	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		1.4- Com estas três ações, a Receita contabiliza sete apreensões da droga no Porto de Paranaguá em 2021, totalizando 1.137 kg de entorpecentes.  @secomvc	pt	[{'screen_name': 'secomvc', 'name': 'secomvc', 'id': '1158389772920020993'}]	[]	[]	65	603	2401	[]	[]	https://twitter.com/jairbolsonaro/status/1386618256149172224	False		0								[]				
1386618188348153861	1386617420345970688	2021-04-26 06:48:32 E. South America Standard Time	2021-04-26	06:48:32	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		1.3- No 2• contêiner, que ia para a Holanda, 41,5 kg de cocaína foram introduzidos, também sem participação do exportador, no compartimento de refrigeração da carga. No 3•, também com destino à Bélgica, cerca de 487 kg de tabletes foram encontrados em meio a uma carga de tábuas	pt	[]	[]	[]	45	624	2324	[]	[]	https://twitter.com/jairbolsonaro/status/1386618188348153861	False		0								[]				
1386617908021891079	1386617420345970688	2021-04-26 06:47:26 E. South America Standard Time	2021-04-26	06:47:26	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		1.2- Os traficantes utilizaram estratégias diferentes para tentar burlar a fiscalização. No 1• contêiner, com destino à Bélgica, o lacre das portas foi violado e 223,5 kg da droga foram introduzidos sem o conhecimento do exportador, método conhecido como rip-on/rip-off.	pt	[]	[]	[]	40	612	2260	[]	[]	https://twitter.com/jairbolsonaro/status/1386617908021891079	False		0								[]				
1386617606401052673	1386617420345970688	2021-04-26 06:46:14 E. South America Standard Time	2021-04-26	06:46:14	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		1.1- A @ReceitaFederal apreendeu, em ações distintas, 752 kg de cocaína em três contêineres no Porto de Paranaguá (PR). É a primeira vez que o órgão registra três apreensões da droga em 24 horas no estado.  https://t.co/2ZLCFXui7n	pt	[{'screen_name': 'receitafederal', 'name': 'receita federal', 'id': '18718638'}]	[]	['https://pbs.twimg.com/media/Ez5BXH3XsAARljt.jpg']	62	671	2403	[]	[]	https://twitter.com/jairbolsonaro/status/1386617606401052673	False		1	https://pbs.twimg.com/media/Ez5BXH3XsAARljt.jpg							[]				
1386617420345970688	1386617420345970688	2021-04-26 06:45:29 E. South America Standard Time	2021-04-26	06:45:29	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- Entregue a ampliação da Estação de Tratamento de Esgoto Jarivatuba, na cidade de Joinville (SC), sendo mais uma do @govbr . Avanços acontecem também com a sanção do Marco do Saneamento Básico. Mais detalhes nas redes sociais: @rogeriosmarinho @mdregional_br   . Segue o FIO:  https://t.co/xFPbfifczD	pt	[{'screen_name': 'govbr', 'name': 'governo do brasil', 'id': '861707648584085504'}, {'screen_name': 'rogeriosmarinho', 'name': 'rogério marinho', 'id': '52189996'}, {'screen_name': 'mdregional_br', 'name': 'ministério do desenvolvimento regional', 'id': '1004396762'}]	[]	[]	834	3081	13125	[]	[]	https://twitter.com/jairbolsonaro/status/1386617420345970688	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1386617212107116545/pu/img/973z3Z1X6Vxa8Hx4.jpg							[]				
1386442604242419712	1386442604242419712	2021-04-25 19:10:50 E. South America Standard Time	2021-04-25	19:10:50	-0300	128372940	jairbolsonaro	Jair M. Bolsonaro		- BRITISH JOURNAL of SPORTS  MEDICINE:  - Atividade física reduz incidência das formas mais graves da doença, o número de hospitalizações e a taxa de mortalidade.   https://t.co/dIGrEvsLYq  https://t.co/5UZJU23Ypb	pt	[]	['https://globoesporte.globo.com/eu-atleta/saude/noticia/exercicios-regulares-previnem-agravamento-da-covid-19.ghtml']	['https://pbs.twimg.com/media/Ez2iMwfXEAcgAJ1.jpg']	1112	4264	19667	[]	[]	https://twitter.com/jairbolsonaro/status/1386442604242419712	False		1	https://pbs.twimg.com/media/Ez2iMwfXEAcgAJ1.jpg							[]				
